"plot_ID","lat","lon","level1_ecoregion"
66674404010661,38.029632,-88.922102,"EASTERN TEMPERATE FORESTS"
66677501010661,37.649463,-88.251794,"EASTERN TEMPERATE FORESTS"
66679058010661,38.019153,-88.586694,"EASTERN TEMPERATE FORESTS"
66745607010661,37.619246,-89.423639,"EASTERN TEMPERATE FORESTS"
66745056010661,37.688714,-89.388187,"EASTERN TEMPERATE FORESTS"
66744758010661,37.840252,-89.487766,"EASTERN TEMPERATE FORESTS"
66745999010661,37.614427,-89.267833,"EASTERN TEMPERATE FORESTS"
66751939010661,37.440075,-88.983765,"EASTERN TEMPERATE FORESTS"
66751026010661,37.554809,-88.978844,"EASTERN TEMPERATE FORESTS"
66752463010661,37.488022,-88.833535,"EASTERN TEMPERATE FORESTS"
66694687010661,37.396586,-88.701334,"EASTERN TEMPERATE FORESTS"
66695542010661,37.580108,-88.507089,"EASTERN TEMPERATE FORESTS"
66695144010661,37.560336,-88.642445,"EASTERN TEMPERATE FORESTS"
66698938010661,37.894788,-89.761816,"EASTERN TEMPERATE FORESTS"
66699408010661,37.973891,-89.910447,"EASTERN TEMPERATE FORESTS"
66709202010661,37.54222,-89.104944,"EASTERN TEMPERATE FORESTS"
66708905010661,37.529082,-89.402464,"EASTERN TEMPERATE FORESTS"
66664813010661,38.879848,-88.587978,"EASTERN TEMPERATE FORESTS"
66671603010661,39.208996,-88.823707,"EASTERN TEMPERATE FORESTS"
66733254010661,39.085466,-89.851361,"EASTERN TEMPERATE FORESTS"
66701599010661,38.42563,-89.887984,"EASTERN TEMPERATE FORESTS"
66713905010661,38.298192,-88.382352,"EASTERN TEMPERATE FORESTS"
66659243010661,39.92835,-90.978596,"EASTERN TEMPERATE FORESTS"
66665972010661,39.615585,-88.050961,"EASTERN TEMPERATE FORESTS"
66666799010661,41.480739,-87.662797,"EASTERN TEMPERATE FORESTS"
66666507010661,41.723558,-87.881037,"EASTERN TEMPERATE FORESTS"
66669078010661,39.706267,-88.04926,"EASTERN TEMPERATE FORESTS"
66676913010661,40.279277,-90.213007,"EASTERN TEMPERATE FORESTS"
66677144010661,40.200471,-90.241705,"EASTERN TEMPERATE FORESTS"
66658666010661,40.995838,-90.85608,"EASTERN TEMPERATE FORESTS"
66720069010661,40.837222,-90.019413,"EASTERN TEMPERATE FORESTS"
66720428010661,40.936882,-90.259589,"EASTERN TEMPERATE FORESTS"
66721808010661,42.245647,-88.181784,"EASTERN TEMPERATE FORESTS"
66729240010661,42.368396,-88.510965,"EASTERN TEMPERATE FORESTS"
66740842010661,40.085878,-89.62493,"EASTERN TEMPERATE FORESTS"
66686256010661,39.84162,-90.18909,"EASTERN TEMPERATE FORESTS"
66687116010661,39.602673,-90.140954,"EASTERN TEMPERATE FORESTS"
66690063010661,40.704808,-89.911753,"EASTERN TEMPERATE FORESTS"
66688822010661,40.865139,-89.816845,"EASTERN TEMPERATE FORESTS"
66693794010661,39.515961,-90.601541,"EASTERN TEMPERATE FORESTS"
66704732010661,40.158397,-90.472056,"EASTERN TEMPERATE FORESTS"
66958211010661,37.254994,-89.327699,"EASTERN TEMPERATE FORESTS"
